Outcome,Parameter,Estimate,Std. Error,t value,Pr(>|t|),p.adj,sigflag
BMI,(Intercept),0.00409002899157479,0.29530619884078535,0.013850129146052683,0.989,0.9893985987749697, 
BMI,InterventionB,-0.4192102378412515,0.5487277861507859,-0.7639675781354655,0.474,0.7887826012052646, 
BMI,c.age,0.21896345276426926,0.1265675950719592,1.7300119563761878,0.134,0.5813557880621777, 
BMI,hispanic,0.2826757706376015,0.4276962428759524,0.6609264760822036,0.533,0.7887826012052646, 
BMI,c.stress,-0.03443020545143847,0.05703267838393239,-0.6036925921602582,0.568,0.7887826012052646, 
LBM,(Intercept),-0.22258307842336564,0.4520337687357611,-0.4924036517136352,0.64,0.7887826012052646, 
LBM,InterventionB,0.6195104061611819,0.839953547055419,0.7375531758071229,0.489,0.7887826012052646, 
LBM,c.age,0.09251168974053321,0.1937406909329588,0.47750263145569954,0.65,0.7887826012052646, 
LBM,hispanic,-0.2927340240212709,0.6546870512717479,-0.4471358085555945,0.67,0.7887826012052646, 
LBM,c.stress,-0.05289492986155694,0.08730157596482838,-0.6058874570931799,0.567,0.7887826012052646, 
VFL,(Intercept),-0.17402502146244825,0.3664239320321002,-0.4749280989845471,0.652,0.7887826012052646, 
VFL,InterventionB,-1.5755936554506276,0.6808763033282815,-2.3140673977766,0.06,0.48028627933887014, 
VFL,c.age,0.34239479233519776,0.15704850096668097,2.1801850398294436,0.072,0.48028627933887014, 
VFL,hispanic,1.6846062161914375,0.5306970854155939,3.1743272433316765,0.019,0.38426494642829445, 
VFL,c.stress,0.0010543687540112085,0.07076769248257442,0.014899012770139884,0.989,0.9893985987749697, 
Weight,(Intercept),0.01321149053568167,0.8236170020542269,0.016040818126301655,0.988,0.9893985987749697, 
Weight,InterventionB,-1.1547423672870607,1.5304166859600126,-0.7545280823717001,0.479,0.7887826012052646, 
Weight,c.age,0.590597781241406,0.35300045721892626,1.6730793662262173,0.145,0.5813557880621777, 
Weight,hispanic,0.7754836343632581,1.192856427430664,0.6501064306905735,0.54,0.7887826012052646, 
Weight,c.stress,-0.11715641331255139,0.15906568766280077,-0.7365285061408607,0.489,0.7887826012052646, 
